,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,91.0,0.0,36.0,0.0,34.0,0.0,49.0,0.0,52.0,0.0,2.0,0.0,44.0,0.0,18.0,0.0,70.0,0.0,64.0,0.0,54.0,0.0,54.0,0.0,91.0,0.0,64.0
1,0.0,91.0,0.0,36.0,0.0,34.0,0.0,49.0,0.0,52.0,0.0,2.0,0.0,44.0,0.0,18.0,0.0,70.0,0.0,73.0,0.0,54.0,0.0,54.0,0.0,49.0,0.0,64.0
2,0.0,91.0,0.0,36.0,0.0,34.0,0.0,49.0,0.0,52.0,0.0,2.0,0.0,44.0,0.0,18.0,0.0,70.0,0.0,73.0,0.0,54.0,0.0,69.0,0.0,62.0,0.0,64.0
3,0.0,91.0,0.0,36.0,0.0,34.0,0.0,49.0,0.0,52.0,0.0,2.0,0.0,44.0,0.0,18.0,0.0,70.0,0.0,73.0,0.0,54.0,0.0,54.0,0.0,91.0,0.0,64.0
4,0.0,91.0,0.0,36.0,0.0,34.0,0.0,49.0,0.0,52.0,0.0,2.0,0.0,44.0,0.0,18.0,0.0,70.0,0.0,73.0,0.0,0.0,0.0,54.0,0.0,91.0,0.0,64.0
5,0.0,91.0,0.0,36.0,0.0,34.0,0.0,49.0,0.0,52.0,0.0,2.0,0.0,44.0,0.0,18.0,0.0,0.0,0.0,73.0,0.0,54.0,0.0,54.0,0.0,91.0,0.0,64.0
6,0.0,91.0,0.0,36.0,0.0,34.0,0.0,49.0,0.0,52.0,0.0,2.0,0.0,44.0,0.0,18.0,0.0,70.0,0.0,73.0,0.0,54.0,0.0,0.0,0.0,70.0,0.0,64.0
7,0.0,91.0,0.0,36.0,0.0,34.0,0.0,49.0,0.0,52.0,0.0,2.0,0.0,44.0,0.0,18.0,0.0,0.0,0.0,73.0,0.0,54.0,0.0,54.0,0.0,91.0,0.0,64.0
8,0.0,91.0,0.0,28.0,0.0,0.0,0.0,22.0,0.0,70.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,70.0,0.0,56.0,0.0,60.0,0.0,0.0,0.0,91.0,0.0,64.0
9,0.0,91.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.0,0.0,73.0,0.0,54.0,0.0,56.0,0.0,91.0,0.0,64.0
10,0.0,91.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,91.0,0.0,64.0
11,0.0,91.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,21.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,73.0,0.0,54.0,0.0,54.0,0.0,91.0,0.0,64.0
12,0.0,91.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0,54.0,0.0,56.0,0.0,91.0,0.0,64.0
13,0.0,91.0,0.0,28.0,0.0,24.0,0.0,2.0,0.0,70.0,0.0,2.0,0.0,2.0,0.0,18.0,0.0,56.0,0.0,73.0,0.0,54.0,0.0,54.0,0.0,91.0,0.0,43.0
14,0.0,91.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,2.0,0.0,18.0,0.0,70.0,0.0,73.0,0.0,56.0,0.0,54.0,0.0,91.0,0.0,64.0
15,0.0,91.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,70.0,0.0,73.0,0.0,54.0,0.0,54.0,0.0,91.0,0.0,64.0
16,0.0,91.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,6.0,0.0,59.0,0.0,70.0,0.0,73.0,0.0,54.0,0.0,54.0,0.0,91.0,0.0,24.0
