,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0.0,169.0,0.0,297.0,0.0,46.0,0.0,228.0,0.0,298.0,0.0,78.0,0.0,231.0,0.0,25.0,0.0,300.0,0.0,6.0,0.0,310.0,0.0,310.0,0.0,272.0,0.0,101.0,0.0,109.0,0.0,73.0,0.0,111.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,44.0,0.0,113.0,0.0,171.0,0.0,96.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,132.0,0.0,45.0,0.0,199.0
1,0.0,169.0,0.0,297.0,0.0,46.0,0.0,228.0,0.0,298.0,0.0,78.0,0.0,231.0,0.0,25.0,0.0,300.0,0.0,6.0,0.0,310.0,0.0,310.0,0.0,310.0,0.0,101.0,0.0,251.0,0.0,73.0,0.0,132.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,44.0,0.0,145.0,0.0,171.0,0.0,90.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,132.0,0.0,50.0,0.0,199.0
2,0.0,169.0,0.0,297.0,0.0,46.0,0.0,228.0,0.0,298.0,0.0,78.0,0.0,231.0,0.0,25.0,0.0,300.0,0.0,6.0,0.0,310.0,0.0,344.0,0.0,310.0,0.0,101.0,0.0,251.0,0.0,73.0,0.0,104.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,44.0,0.0,113.0,0.0,171.0,0.0,96.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,132.0,0.0,45.0,0.0,199.0
3,0.0,169.0,0.0,297.0,0.0,46.0,0.0,228.0,0.0,298.0,0.0,78.0,0.0,231.0,0.0,25.0,0.0,300.0,0.0,6.0,0.0,273.0,0.0,344.0,0.0,310.0,0.0,101.0,0.0,251.0,0.0,73.0,0.0,104.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,108.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,44.0,0.0,113.0,0.0,171.0,0.0,96.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,132.0,0.0,45.0,0.0,199.0
4,0.0,169.0,0.0,297.0,0.0,46.0,0.0,228.0,0.0,298.0,0.0,78.0,0.0,231.0,0.0,25.0,0.0,300.0,0.0,6.0,0.0,273.0,0.0,344.0,0.0,310.0,0.0,101.0,0.0,251.0,0.0,73.0,0.0,104.0,0.0,109.0,0.0,109.0,0.0,112.0,0.0,144.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,44.0,0.0,113.0,0.0,171.0,0.0,96.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,132.0,0.0,45.0,0.0,199.0
5,0.0,169.0,0.0,297.0,0.0,46.0,0.0,228.0,0.0,298.0,0.0,78.0,0.0,231.0,0.0,25.0,0.0,300.0,0.0,6.0,0.0,310.0,0.0,344.0,0.0,307.0,0.0,101.0,0.0,251.0,0.0,73.0,0.0,104.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,109.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,44.0,0.0,113.0,0.0,171.0,0.0,96.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,132.0,0.0,45.0,0.0,199.0
6,0.0,169.0,0.0,297.0,0.0,46.0,0.0,228.0,0.0,298.0,0.0,78.0,0.0,231.0,0.0,25.0,0.0,300.0,0.0,6.0,0.0,310.0,0.0,344.0,0.0,310.0,0.0,101.0,0.0,251.0,0.0,73.0,0.0,104.0,0.0,109.0,0.0,34.0,0.0,109.0,0.0,109.0,0.0,113.0,0.0,147.0,0.0,113.0,0.0,44.0,0.0,113.0,0.0,171.0,0.0,96.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,132.0,0.0,45.0,0.0,199.0
7,0.0,169.0,0.0,297.0,0.0,46.0,0.0,228.0,0.0,298.0,0.0,78.0,0.0,231.0,0.0,25.0,0.0,300.0,0.0,6.0,0.0,310.0,0.0,344.0,0.0,310.0,0.0,101.0,0.0,251.0,0.0,73.0,0.0,104.0,0.0,109.0,0.0,34.0,0.0,109.0,0.0,109.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,44.0,0.0,113.0,0.0,171.0,0.0,96.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,94.0,0.0,45.0,0.0,199.0
8,0.0,169.0,0.0,300.0,0.0,300.0,0.0,267.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,346.0,0.0,344.0,0.0,272.0,0.0,109.0,0.0,251.0,0.0,94.0,0.0,104.0,0.0,109.0,0.0,34.0,0.0,109.0,0.0,109.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,171.0,0.0,96.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,168.0,0.0,45.0,0.0,199.0
9,0.0,169.0,0.0,300.0,0.0,300.0,0.0,267.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,310.0,0.0,344.0,0.0,310.0,0.0,109.0,0.0,251.0,0.0,109.0,0.0,104.0,0.0,109.0,0.0,34.0,0.0,109.0,0.0,109.0,0.0,117.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,113.0,0.0,171.0,0.0,134.0,0.0,96.0,0.0,235.0,0.0,235.0,0.0,132.0,0.0,45.0,0.0,135.0
