,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,5.0,25.0,5.0,5.0,5.0,36.0,5.0,45.0,5.0,34.0,5.0,5.0,5.0,51.0,5.0,58.0
1,5.0,25.0,5.0,15.0,5.0,36.0,5.0,45.0,5.0,34.0,5.0,10.0,5.0,51.0,5.0,37.0
2,5.0,25.0,5.0,5.0,5.0,36.0,5.0,45.0,5.0,34.0,5.0,1.0,5.0,51.0,5.0,32.0
3,5.0,25.0,5.0,10.0,5.0,36.0,5.0,45.0,5.0,34.0,5.0,5.0,5.0,51.0,5.0,37.0
4,5.0,25.0,5.0,5.0,5.0,36.0,5.0,45.0,5.0,34.0,5.0,5.0,5.0,51.0,5.0,38.0
5,5.0,25.0,5.0,5.0,5.0,36.0,5.0,45.0,5.0,34.0,5.0,5.0,5.0,51.0,5.0,37.0
6,5.0,25.0,5.0,10.0,5.0,36.0,5.0,45.0,5.0,34.0,5.0,0.0,5.0,51.0,5.0,37.0
7,5.0,25.0,5.0,5.0,5.0,36.0,5.0,45.0,5.0,34.0,5.0,5.0,5.0,51.0,5.0,42.0
8,5.0,25.0,5.0,0.0,5.0,11.0,5.0,10.0,5.0,17.0,5.0,5.0,5.0,37.0,5.0,37.0
9,5.0,25.0,5.0,11.0,5.0,16.0,5.0,35.0,5.0,17.0,5.0,5.0,5.0,2.0,5.0,37.0
10,5.0,25.0,5.0,6.0,5.0,15.0,5.0,23.0,5.0,17.0,5.0,5.0,5.0,37.0,5.0,25.0
11,5.0,25.0,5.0,5.0,5.0,15.0,5.0,17.0,5.0,17.0,5.0,5.0,5.0,37.0,5.0,37.0
12,5.0,25.0,5.0,10.0,5.0,30.0,5.0,29.0,5.0,17.0,5.0,0.0,5.0,29.0,5.0,37.0
13,5.0,25.0,5.0,5.0,5.0,20.0,5.0,17.0,5.0,17.0,5.0,1.0,5.0,37.0,5.0,32.0
14,5.0,25.0,5.0,0.0,5.0,15.0,5.0,17.0,5.0,17.0,5.0,0.0,5.0,37.0,5.0,34.0
15,5.0,25.0,5.0,0.0,5.0,15.0,5.0,22.0,5.0,17.0,5.0,5.0,5.0,37.0,5.0,7.0
16,5.0,25.0,5.0,5.0,5.0,10.0,5.0,17.0,5.0,17.0,5.0,5.0,5.0,37.0,5.0,25.0
17,5.0,25.0,5.0,9.0,5.0,15.0,5.0,53.0,5.0,17.0,5.0,5.0,5.0,37.0,5.0,37.0
18,5.0,25.0,5.0,5.0,5.0,15.0,5.0,18.0,5.0,17.0,5.0,5.0,5.0,33.0,5.0,37.0
19,5.0,25.0,5.0,9.0,5.0,15.0,5.0,17.0,5.0,17.0,5.0,5.0,5.0,37.0,5.0,19.0
20,5.0,25.0,5.0,5.0,5.0,15.0,5.0,25.0,5.0,17.0,5.0,5.0,5.0,11.0,5.0,37.0
