0.0,44
4.0,41
0.0,286
4.0,40
0.0,1
4.0,6
0.0,1
4.0,62
0.0,1
4.0,8
0.0,1
4.0,2
0.0,1
4.0,4
0.0,1
4.0,6
0.0,1
4.0,2
0.0,1
4.0,33
0.0,1
4.0,44
0.0,9
4.0,22
0.0,1
4.0,14
0.0,1
4.0,1
0.0,1
4.0,9
0.0,1
4.0,13
0.0,18
4.0,1
0.0,10
4.0,1
0.0,26
4.0,1
0.0,19
4.0,1
0.0,30
4.0,1
0.0,21
4.0,1
0.0,18
4.0,1
0.0,23
4.0,1
0.0,8
4.0,2
0.0,7
4.0,1
0.0,8
4.0,1
0.0,1
4.0,1
0.0,9
4.0,1
0.0,18
4.0,1
0.0,10
4.0,9
0.0,10
4.0,1
0.0,4
4.0,1
0.0,12
4.0,1
0.0,6
4.0,1
0.0,4
4.0,11
0.0,1
4.0,4
8.0,9
4.0,9
0.0,1
4.0,4
0.0,1
4.0,2
8.0,1
4.0,2
0.0,1
4.0,11
0.0,1
4.0,3
0.0,1
4.0,8
0.0,1
4.0,31
8.0,1
4.0,4
0.0,1
4.0,13
0.0,1
4.0,1
0.0,1
4.0,5
0.0,1
4.0,4
0.0,1
4.0,19
0.0,1
4.0,30
0.0,1
4.0,12
0.0,1
4.0,16
0.0,2
4.0,7
0.0,1
4.0,12
0.0,1
4.0,3
0.0,1
4.0,4
0.0,1
4.0,5
0.0,1
4.0,2
0.0,1
4.0,9
0.0,1
4.0,4
0.0,1
4.0,1
0.0,1
4.0,17
0.0,1
4.0,1
0.0,1
4.0,12
0.0,1
4.0,2
0.0,1
4.0,4
8.0,1
4.0,2
0.0,1
8.0,1
4.0,4
0.0,1
4.0,2
0.0,1
4.0,8
8.0,1
4.0,5
0.0,1
4.0,8
0.0,1
8.0,6
0.0,3
8.0,9
0.0,2
4.0,1
8.0,3
4.0,1
8.0,10
0.0,1
8.0,13
0.0,1
8.0,1
0.0,1
8.0,1
0.0,1
8.0,4
4.0,1
8.0,5
0.0,1
8.0,4
0.0,1
8.0,23
0.0,2
8.0,6
0.0,1
8.0,40
0.0,1
8.0,12
0.0,1
8.0,6
0.0,1
8.0,4
0.0,1
8.0,8
4.0,1
8.0,4
0.0,1
8.0,1
0.0,2
8.0,1
0.0,1
8.0,2
0.0,1
8.0,2
4.0,1
8.0,7
4.0,1
8.0,21
0.0,2
8.0,12
0.0,1
8.0,7
0.0,1
8.0,22
0.0,1
8.0,3
0.0,1
8.0,5
0.0,1
8.0,2
0.0,1
8.0,4
0.0,1
8.0,3
4.0,2
0.0,208
4.0,1
0.0,56
4.0,4
0.0,1
4.0,21
0.0,1
4.0,7
0.0,1
4.0,23
0.0,1
4.0,25
0.0,1
4.0,11
0.0,1
4.0,13
0.0,2
4.0,1
0.0,1
4.0,30
0.0,1
4.0,10
0.0,1
4.0,3
0.0,1
4.0,10
0.0,1
4.0,7
0.0,1
4.0,2
0.0,1
4.0,3
0.0,1
4.0,34
0.0,1
4.0,9
0.0,1
4.0,2
0.0,1
4.0,2
0.0,1
4.0,2
0.0,1
4.0,14
0.0,2
4.0,8
0.0,1
4.0,1
0.0,4
4.0,1
0.0,2
4.0,1
0.0,42
4.0,1
0.0,3
12.0,9
0.0,32
8.0,9
0.0,23
4.0,1
0.0,10
4.0,1
0.0,4
4.0,1
0.0,5
4.0,1
0.0,7
4.0,1
0.0,21
4.0,1
0.0,3
4.0,1
0.0,3
4.0,1
0.0,5
12.0,1
0.0,19
4.0,1
0.0,3
4.0,1
0.0,7
4.0,1
0.0,1
4.0,1
0.0,6
12.0,1
0.0,19
4.0,1
0.0,37
4.0,1
